full_name,age,birthday_GMT,league,position,Current Club,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Jack Stephens,28,1994/01/27,Premier League,Defender,Southampton,England,1,0,0,4,0
Jack Wilshere,30,1992/01/01,Premier League,Midfielder,West Ham United,England,0,1,0,2,0
Jacob Murphy,27,1995/02/24,Premier League,Midfielder,Newcastle United,England,0,1,0,0,0
JaÃ¯ro Riedewald,26,1996/09/09,Premier League,Defender,Crystal Palace,Netherlands,0,0,0,0,0
Jamal Lascelles,28,1993/11/11,Premier League,Defender,Newcastle United,England,0,1,0,4,0
James Garner,21,2001/03/13,Premier League,Defender,Manchester United,England,0,0,0,0,0
James Maddison,25,1996/11/23,Premier League,Midfielder,Leicester City,England,7,7,1,5,1
James McArthur,35,1987/10/07,Premier League,Midfielder,Crystal Palace,Scotland,3,6,0,7,0
James McCarthy,31,1990/11/12,Premier League,Midfielder,Everton,Republic of Ireland,0,0,0,0,0
James Milner,36,1986/01/04,Premier League,Midfielder,Liverpool,England,5,4,3,7,1
James Tarkowski,29,1992/11/19,Premier League,Defender,Burnley,England,3,1,0,8,0
James Tomkins,33,1989/03/29,Premier League,Defender,Crystal Palace,England,1,1,0,6,0
James Ward-Prowse,27,1994/11/01,Premier League,Midfielder,Southampton,England,7,0,1,4,0
Jamie Sterry,26,1995/11/21,Premier League,Defender,Newcastle United,England,0,0,0,0,0
Jamie Vardy,35,1987/01/11,Premier League,Forward,Leicester City,England,18,4,4,4,1
Jan Bednarek,26,1996/04/12,Premier League,Defender,Southampton,Poland,0,1,0,7,0
Jan Vertonghen,35,1987/04/24,Premier League,Defender,Tottenham Hotspur,Belgium,1,0,0,5,1
Jannik Vestergaard,30,1992/08/03,Premier League,Defender,Southampton,Denmark,0,0,0,2,0
Jason Puncheon,36,1986/06/26,Premier League,Midfielder,Huddersfield Town,England,0,0,0,1,0
Jason Steele,32,1990/08/18,Premier League,Goalkeeper,Brighton & Hove Albion,England,0,0,0,0,0
Javier Hernandez,34,1988/06/01,Premier League,Forward,West Ham United,Mexico,7,1,0,2,0
Javier Manquillo GaitÃ¡n,28,1994/05/05,Premier League,Defender,Newcastle United,Spain,0,3,0,2,0
Jayson Molumby,23,1999/08/06,Premier League,Midfielder,Brighton & Hove Albion,Republic of Ireland,0,0,0,0,0
Jazz Richards,31,1991/04/12,Premier League,Defender,Cardiff City,Wales,0,0,0,0,0
Jean Michau00ebl Seri,31,1991/07/19,Premier League,Midfielder,Fulham,Ivory Coast,1,2,0,6,0
Jeff Hendrick,30,1992/01/31,Premier League,Midfielder,Burnley,Republic of Ireland,3,0,0,4,0
Jefferson Lerma,28,1994/10/25,Premier League,Midfielder,AFC Bournemouth,Colombia,2,0,0,12,0
Jeffrey Schlupp,29,1992/12/23,Premier League,Defender,Crystal Palace,Ghana,4,1,0,1,0
Jermain Defoe,40,1982/10/07,Premier League,Forward,AFC Bournemouth,England,0,0,0,0,0
Jesse Lingard,29,1992/12/15,Premier League,Midfielder,Manchester United,England,4,2,1,3,0
JoÃ£o Moutinho,36,1986/09/08,Premier League,Midfielder,Wolverhampton Wanderers,Portugal,1,8,0,4,0
Joe Bennett,32,1990/03/28,Premier League,Defender,Cardiff City,England,0,1,0,5,0
Joe Bryan,29,1993/09/17,Premier League,Defender,Fulham,England,0,1,0,5,0
Joe Daniel Tupper,24,1997/11/15,Premier League,Goalkeeper,Crystal Palace,England,0,0,0,0,0
Joe Gomez,25,1997/05/23,Premier League,Defender,Liverpool,England,0,0,0,2,0
Joe Hart,35,1987/04/19,Premier League,Goalkeeper,Burnley,England,0,0,0,0,0
Joe Powell,24,1998/10/30,Premier League,Forward,West Ham United,England,0,0,0,0,0
Joe Ralls,29,1993/10/13,Premier League,Midfielder,Cardiff City,England,0,0,0,5,1
Joel Coleman,27,1995/09/26,Premier League,Goalkeeper,Huddersfield Town,England,0,0,0,0,0
Joel Matip,31,1991/08/08,Premier League,Defender,Liverpool,Cameroon,1,0,0,3,0
Joel Ward,32,1989/10/29,Premier League,Defender,Crystal Palace,England,1,0,0,1,0
Johann Berg GuÃ°mundsÂ­son,32,1990/10/27,Premier League,Midfielder,Burnley,Iceland,3,6,0,2,0
John Ruddy,36,1986/10/24,Premier League,Goalkeeper,Wolverhampton Wanderers,England,0,0,0,0,0
John Stones,28,1994/05/28,Premier League,Defender,Manchester City,England,0,0,0,1,0
Jon Gorenc StankoviÄ,26,1996/01/14,Premier League,Defender,Huddersfield Town,Slovenia,1,0,0,2,0
Jonas LÃ¶ssl,33,1989/02/01,Premier League,Goalkeeper,Huddersfield Town,Denmark,0,1,0,1,0
Jonathan Hogg,33,1988/12/06,Premier League,Midfielder,Huddersfield Town,England,0,1,0,9,1
